Date,Ticker,ETF_Close,SPY_Close,Ratio
2026-04-13,XLB,52.189999,686.099976,0.076068
2026-04-14,XLB,52.009998,694.460022,0.074893
2026-04-15,XLB,51.380001,699.940002,0.073406
2026-04-16,XLB,51.750000,701.659973,0.073754
2026-04-17,XLB,51.880001,710.140015,0.073056
2026-04-20,XLB,52.230000,708.719971,0.073696
2026-04-21,XLB,51.770000,704.080017,0.073529
2026-04-22,XLB,51.830002,711.210022,0.072876
2026-04-23,XLB,51.810001,708.450012,0.073131
2026-04-24,XLB,51.919998,713.940002,0.072723
2026-04-27,XLB,51.779999,715.169983,0.072402
2026-04-28,XLB,51.400002,711.690002,0.072222
2026-04-29,XLB,50.959999,711.580017,0.071615
2026-04-30,XLB,51.470001,718.659973,0.071619
2026-05-01,XLB,51.349998,720.650024,0.071255
2026-05-04,XLB,50.650002,718.010010,0.070542
2026-05-05,XLB,51.529999,723.770020,0.071197
2026-05-06,XLB,52.410000,733.830017,0.071420
2026-05-07,XLB,51.400002,731.580017,0.070259
2026-05-08,XLB,51.590000,737.619995,0.069941
2026-05-11,XLB,52.259998,739.299988,0.070688
2026-05-12,XLB,52.139999,738.179993,0.070633
2026-05-13,XLB,52.060001,742.309998,0.070132
2026-05-14,XLB,51.669998,748.169983,0.069062
2026-05-15,XLB,50.299999,739.169983,0.068049
2026-05-18,XLB,50.220001,738.650024,0.067989
2026-05-19,XLB,49.040001,733.729980,0.066837
2026-05-20,XLB,49.720001,741.250000,0.067076
2026-05-21,XLB,50.020000,742.719971,0.067347
2026-05-22,XLB,50.290001,745.640015,0.067445
2026-04-13,XLC,114.820000,686.099976,0.167352
2026-04-14,XLC,116.559998,694.460022,0.167843
2026-04-15,XLC,117.360001,699.940002,0.167672
2026-04-16,XLC,118.830002,701.659973,0.169356
2026-04-17,XLC,119.099998,710.140015,0.167713
2026-04-20,XLC,118.750000,708.719971,0.167556
2026-04-21,XLC,117.160004,704.080017,0.166402
2026-04-22,XLC,117.879997,711.210022,0.165746
2026-04-23,XLC,117.389999,708.450012,0.165700
2026-04-24,XLC,115.540001,713.940002,0.161834
2026-04-27,XLC,115.809998,715.169983,0.161934
2026-04-28,XLC,115.750000,711.690002,0.162641
2026-04-29,XLC,115.290001,711.580017,0.162020
2026-04-30,XLC,116.510002,718.659973,0.162121
2026-05-01,XLC,116.720001,720.650024,0.161965
2026-05-04,XLC,116.099998,718.010010,0.161697
2026-05-05,XLC,115.629997,723.770020,0.159761
2026-05-06,XLC,117.349998,733.830017,0.159914
2026-05-07,XLC,117.379997,731.580017,0.160447
2026-05-08,XLC,116.940002,737.619995,0.158537
2026-05-11,XLC,115.580002,739.299988,0.156337
2026-05-12,XLC,115.860001,738.179993,0.156954
2026-05-13,XLC,116.760002,742.309998,0.157293
2026-05-14,XLC,117.110001,748.169983,0.156529
2026-05-15,XLC,116.080002,739.169983,0.157041
2026-05-18,XLC,116.980003,738.650024,0.158370
2026-05-19,XLC,115.849998,733.729980,0.157892
2026-05-20,XLC,116.099998,741.250000,0.156627
2026-05-21,XLC,116.099998,742.719971,0.156317
2026-05-22,XLC,115.459999,745.640015,0.154847
2026-04-13,XLE,57.110001,686.099976,0.083239
2026-04-14,XLE,55.950001,694.460022,0.080566
2026-04-15,XLE,55.759998,699.940002,0.079664
2026-04-16,XLE,56.580002,701.659973,0.080637
2026-04-17,XLE,55.020000,710.140015,0.077478
2026-04-20,XLE,55.070000,708.719971,0.077703
2026-04-21,XLE,55.869999,704.080017,0.079352
2026-04-22,XLE,56.540001,711.210022,0.079498
2026-04-23,XLE,56.980000,708.450012,0.080429
2026-04-24,XLE,56.869999,713.940002,0.079657
2026-04-27,XLE,56.770000,715.169983,0.079380
2026-04-28,XLE,57.709999,711.690002,0.081089
2026-04-29,XLE,59.029999,711.580017,0.082956
2026-04-30,XLE,59.650002,718.659973,0.083002
2026-05-01,XLE,58.849998,720.650024,0.081662
2026-05-04,XLE,59.389999,718.010010,0.082715
2026-05-05,XLE,59.450001,723.770020,0.082139
2026-05-06,XLE,57.000000,733.830017,0.077675
2026-05-07,XLE,55.950001,731.580017,0.076478
2026-05-08,XLE,55.700001,737.619995,0.075513
2026-05-11,XLE,57.169998,739.299988,0.077330
2026-05-12,XLE,57.570000,738.179993,0.077989
2026-05-13,XLE,57.630001,742.309998,0.077636
2026-05-14,XLE,58.070000,748.169983,0.077616
2026-05-15,XLE,59.439999,739.169983,0.080415
2026-05-18,XLE,60.580002,738.650024,0.082014
2026-05-19,XLE,61.290001,733.729980,0.083532
2026-05-20,XLE,59.799999,741.250000,0.080675
2026-05-21,XLE,59.130001,742.719971,0.079613
2026-05-22,XLE,59.490002,745.640015,0.079784
2026-04-13,XLF,51.660000,686.099976,0.075295
2026-04-14,XLF,51.779999,694.460022,0.074562
2026-04-15,XLF,52.169998,699.940002,0.074535
2026-04-16,XLF,52.029999,701.659973,0.074153
2026-04-17,XLF,52.430000,710.140015,0.073831
2026-04-20,XLF,52.630001,708.719971,0.074261
2026-04-21,XLF,52.299999,704.080017,0.074281
2026-04-22,XLF,52.209999,711.210022,0.073410
2026-04-23,XLF,51.799999,708.450012,0.073117
2026-04-24,XLF,51.419998,713.940002,0.072023
2026-04-27,XLF,51.810001,715.169983,0.072444
2026-04-28,XLF,51.849998,711.690002,0.072855
2026-04-29,XLF,51.919998,711.580017,0.072964
2026-04-30,XLF,52.130001,718.659973,0.072538
2026-05-01,XLF,51.919998,720.650024,0.072046
2026-05-04,XLF,51.580002,718.010010,0.071837
2026-05-05,XLF,51.590000,723.770020,0.071280
2026-05-06,XLF,51.840000,733.830017,0.070643
2026-05-07,XLF,51.549999,731.580017,0.070464
2026-05-08,XLF,51.240002,737.619995,0.069467
2026-05-11,XLF,51.180000,739.299988,0.069228
2026-05-12,XLF,51.580002,738.179993,0.069875
2026-05-13,XLF,50.990002,742.309998,0.068691
2026-05-14,XLF,51.290001,748.169983,0.068554
2026-05-15,XLF,51.099998,739.169983,0.069132
2026-05-18,XLF,51.740002,738.650024,0.070047
2026-05-19,XLF,51.099998,733.729980,0.069644
2026-05-20,XLF,51.660000,741.250000,0.069693
2026-05-21,XLF,51.730000,742.719971,0.069649
2026-05-22,XLF,51.939999,745.640015,0.069658
2026-04-13,XLI,172.729996,686.099976,0.251756
2026-04-14,XLI,173.350006,694.460022,0.249618
2026-04-15,XLI,171.179993,699.940002,0.244564
2026-04-16,XLI,170.330002,701.659973,0.242753
2026-04-17,XLI,173.509995,710.140015,0.244332
2026-04-20,XLI,173.899994,708.719971,0.245372
2026-04-21,XLI,171.440002,704.080017,0.243495
2026-04-22,XLI,171.039993,711.210022,0.240492
2026-04-23,XLI,174.070007,708.450012,0.245705
2026-04-24,XLI,172.470001,713.940002,0.241575
2026-04-27,XLI,172.509995,715.169983,0.241215
2026-04-28,XLI,170.979996,711.690002,0.240245
2026-04-29,XLI,169.929993,711.580017,0.238807
2026-04-30,XLI,174.580002,718.659973,0.242924
2026-05-01,XLI,172.960007,720.650024,0.240006
2026-05-04,XLI,170.979996,718.010010,0.238130
2026-05-05,XLI,172.410004,723.770020,0.238211
2026-05-06,XLI,176.869995,733.830017,0.241023
2026-05-07,XLI,174.000000,731.580017,0.237841
2026-05-08,XLI,173.199997,737.619995,0.234809
2026-05-11,XLI,175.039993,739.299988,0.236765
2026-05-12,XLI,174.350006,738.179993,0.236189
2026-05-13,XLI,173.619995,742.309998,0.233891
2026-05-14,XLI,174.509995,748.169983,0.233249
2026-05-15,XLI,171.399994,739.169983,0.231882
2026-05-18,XLI,170.750000,738.650024,0.231165
2026-05-19,XLI,168.740005,733.729980,0.229976
2026-05-20,XLI,170.729996,741.250000,0.230327
2026-05-21,XLI,170.529999,742.719971,0.229602
2026-05-22,XLI,171.770004,745.640015,0.230366
2026-04-13,XLK,145.610001,686.099976,0.212229
2026-04-14,XLK,147.940002,694.460022,0.213029
2026-04-15,XLK,150.300003,699.940002,0.214733
2026-04-16,XLK,152.020004,701.659973,0.216658
2026-04-17,XLK,154.350006,710.140015,0.217352
2026-04-20,XLK,154.559998,708.719971,0.218083
2026-04-21,XLK,154.690002,704.080017,0.219705
2026-04-22,XLK,158.089996,711.210022,0.222283
2026-04-23,XLK,155.839996,708.450012,0.219973
2026-04-24,XLK,160.220001,713.940002,0.224417
2026-04-27,XLK,160.570007,715.169983,0.224520
2026-04-28,XLK,157.850006,711.690002,0.221796
2026-04-29,XLK,159.110001,711.580017,0.223601
2026-04-30,XLK,159.500000,718.659973,0.221941
2026-05-01,XLK,161.869995,720.650024,0.224617
2026-05-04,XLK,162.050003,718.010010,0.225693
2026-05-05,XLK,165.630005,723.770020,0.228843
2026-05-06,XLK,170.029999,733.830017,0.231702
2026-05-07,XLK,169.690002,731.580017,0.231950
2026-05-08,XLK,175.520004,737.619995,0.237955
2026-05-11,XLK,177.880005,739.299988,0.240606
2026-05-12,XLK,175.199997,738.179993,0.237340
2026-05-13,XLK,176.850006,742.309998,0.238243
2026-05-14,XLK,179.500000,748.169983,0.239919
2026-05-15,XLK,176.259995,739.169983,0.238457
2026-05-18,XLK,174.360001,738.650024,0.236052
2026-05-19,XLK,173.240005,733.729980,0.236109
2026-05-20,XLK,177.139999,741.250000,0.238975
2026-05-21,XLK,178.600006,742.719971,0.240467
2026-05-22,XLK,180.389999,745.640015,0.241926
2026-04-13,XLP,81.550003,686.099976,0.118860
2026-04-14,XLP,81.470001,694.460022,0.117314
2026-04-15,XLP,81.059998,699.940002,0.115810
2026-04-16,XLP,81.430000,701.659973,0.116053
2026-04-17,XLP,82.459999,710.140015,0.116118
2026-04-20,XLP,82.389999,708.719971,0.116252
2026-04-21,XLP,81.839996,704.080017,0.116237
2026-04-22,XLP,82.110001,711.210022,0.115451
2026-04-23,XLP,83.480003,708.450012,0.117835
2026-04-24,XLP,83.230003,713.940002,0.116578
2026-04-27,XLP,82.339996,715.169983,0.115133
2026-04-28,XLP,83.080002,711.690002,0.116736
2026-04-29,XLP,82.919998,711.580017,0.116529
2026-04-30,XLP,84.309998,718.659973,0.117316
2026-05-01,XLP,84.169998,720.650024,0.116797
2026-05-04,XLP,83.540001,718.010010,0.116349
2026-05-05,XLP,84.059998,723.770020,0.116142
2026-05-06,XLP,84.239998,733.830017,0.114795
2026-05-07,XLP,83.980003,731.580017,0.114793
2026-05-08,XLP,84.180000,737.619995,0.114124
2026-05-11,XLP,83.370003,739.299988,0.112769
2026-05-12,XLP,84.440002,738.179993,0.114389
2026-05-13,XLP,84.720001,742.309998,0.114130
2026-05-14,XLP,84.980003,748.169983,0.113584
2026-05-15,XLP,84.639999,739.169983,0.114507
2026-05-18,XLP,85.900002,738.650024,0.116293
2026-05-19,XLP,86.089996,733.729980,0.117332
2026-05-20,XLP,85.519997,741.250000,0.115373
2026-05-21,XLP,84.660004,742.719971,0.113986
2026-05-22,XLP,84.800003,745.640015,0.113728
2026-04-13,XLRE,43.020000,686.099976,0.062702
2026-04-14,XLRE,43.430000,694.460022,0.062538
2026-04-15,XLRE,43.410000,699.940002,0.062020
2026-04-16,XLRE,43.810001,701.659973,0.062438
2026-04-17,XLRE,44.480000,710.140015,0.062636
2026-04-20,XLRE,44.639999,708.719971,0.062987
2026-04-21,XLRE,43.779999,704.080017,0.062180
2026-04-22,XLRE,43.459999,711.210022,0.061107
2026-04-23,XLRE,43.959999,708.450012,0.062051
2026-04-24,XLRE,43.830002,713.940002,0.061392
2026-04-27,XLRE,43.490002,715.169983,0.060811
2026-04-28,XLRE,43.910000,711.690002,0.061698
2026-04-29,XLRE,43.639999,711.580017,0.061328
2026-04-30,XLRE,44.400002,718.659973,0.061782
2026-05-01,XLRE,44.320000,720.650024,0.061500
2026-05-04,XLRE,44.080002,718.010010,0.061392
2026-05-05,XLRE,44.169998,723.770020,0.061028
2026-05-06,XLRE,44.740002,733.830017,0.060968
2026-05-07,XLRE,44.400002,731.580017,0.060691
2026-05-08,XLRE,44.410000,737.619995,0.060207
2026-05-11,XLRE,44.570000,739.299988,0.060287
